Name,Total Population,Commuter %,Total Commuters,Solo Commuter %,Solo Commuters,Carpooler %,Carpoolers,Public Transit %,Public Transit,Walking %,Walking,Other Transit %,Other Transit,Latitude,Longitude
"Adair County, Missouri",25547.0,42.46682585039339,10849.0,77.942667526961,8456.0,11.38353765323993,1235.0,0.04608719697667988,5.0,4.479675546133284,486.0,2.608535348880081,283.0,40.1993655,-92.539603
"Andrew County, Missouri",17347.0,48.4060644491843,8397.0,87.55507919495058,7352.0,6.752411575562702,567.0,0.059545075622246035,5.0,1.083720376324878,91.0,0.5597237108491128,47.0,39.9637436,-94.81059549999999
"Atchison County, Missouri",5380.0,48.27137546468401,2597.0,82.86484405082788,2152.0,9.08740854832499,236.0,0.15402387370042356,4.0,3.273007316134001,85.0,0.5775895263765883,15.0,40.42389600000001,-95.4777811
"Audrain County, Missouri",25868.0,40.915416731096336,10584.0,79.9697656840514,8464.0,10.393046107331822,1100.0,0.3401360544217687,36.0,3.3541194255479967,355.0,2.5982615268329554,275.0,39.22195300000001,-91.9099238
"Barry County, Missouri",35716.0,38.876133945570615,13885.0,78.81166726683472,10943.0,12.466690673388548,1731.0,0.3168887288440764,44.0,2.2110190853438962,307.0,1.094706517824991,152.0,36.6345264,-93.8248241
"Barton County, Missouri",12075.0,41.09316770186335,4962.0,79.54453849254332,3947.0,8.86739218057235,440.0,0.38291011688835147,19.0,3.7686416767432487,187.0,0.9068923821039904,45.0,37.4748791,-94.315422
"Bates County, Missouri",16513.0,43.135711257796885,7123.0,74.40685104590762,5300.0,13.014179418784218,927.0,0.6598343394637091,47.0,3.6922644952969255,263.0,0.9546539379474941,68.0,38.3216754,-94.315422
"Benton County, Missouri",18825.0,31.718459495351926,5971.0,78.04387874727851,4660.0,12.276000669904539,733.0,0.6531569251381678,39.0,1.5240328253223916,91.0,1.105342488695361,66.0,38.3534598,-93.33889169999999
"Bollinger County, Missouri",12282.0,37.9254193128155,4658.0,75.762129669386,3529.0,18.4628595963933,860.0,0.38643194504079004,18.0,2.3400601116358954,109.0,0.279089738085015,13.0,37.2115595,-90.0746767
"Boone County, Missouri",172773.0,51.56650634068981,89093.0,78.99049308026444,70375.0,10.178128472495034,9068.0,0.9585489320148608,854.0,4.014905772619622,3577.0,2.0574006936571894,1833.0,39.0468547,-92.38136209999999
"Buchanan County, Missouri",89415.0,46.17010568696527,41283.0,82.68294455344815,34134.0,11.384831528716422,4700.0,0.826005861977085,341.0,1.6956132064045732,700.0,1.27170990480343,525.0,39.6349791,-94.81059549999999
"Butler County, Missouri",42887.0,39.356914682771006,16879.0,83.0973398898039,14026.0,9.283725339178861,1567.0,0.4324900764263286,73.0,2.251318206054861,380.0,2.162450382131643,365.0,36.6951341,-90.37483540000001
"Caldwell County, Missouri",9057.0,41.316109086894116,3742.0,84.12613575628006,3148.0,7.856761090326028,294.0,0.053447354355959376,2.0,1.8973810796365578,71.0,0.7482629609834314,28.0,39.6660775,-93.9878427
"Callaway County, Missouri",44693.0,43.55268162799544,19465.0,83.13896737734396,16183.0,10.254302594400205,1996.0,0.14898535833547394,29.0,1.1045466221423068,215.0,2.3067043411250965,449.0,38.8886044,-91.9099238
"Camden County, Missouri",44152.0,37.986954158362025,16772.0,80.87288337705701,13564.0,11.721917481516813,1966.0,0.05962318149296446,10.0,0.6320057238254234,106.0,1.3772954924874792,231.0,38.0322944,-92.6983868
"Cape Girardeau County, Missouri",78089.0,46.72361023959841,36486.0,84.14734418681138,30702.0,9.335087430795372,3406.0,0.4440059200789344,162.0,2.587293756509346,944.0,1.1977196732993478,437.0,37.3821319,-89.62516459999999
"Carroll County, Missouri",9009.0,41.769341769341764,3763.0,79.56417751793782,2994.0,8.902471432367792,335.0,0.05314908317831517,2.0,1.355301621047037,51.0,1.4881743289928249,56.0,39.5166572,-93.5003454
"Carter County, Missouri",6249.0,38.56617058729397,2410.0,72.90456431535269,1757.0,10.995850622406639,265.0,0.0,0.0,3.9834024896265556,96.0,3.112033195020747,75.0,36.9073725,-90.9438468
"Cass County, Missouri",101324.0,47.77446606924322,48407.0,84.06428822277769,40693.0,9.446980808560745,4573.0,0.15080463569318486,73.0,0.5619022042266614,272.0,0.9110252649410209,441.0,38.6574448,-94.315422
"Cedar County, Missouri",13932.0,36.247487797875394,5050.0,83.6039603960396,4222.0,8.633663366336632,436.0,0.0,0.0,2.118811881188119,107.0,1.4851485148514851,75.0,37.7031209,-93.86553029999999
"Chariton County, Missouri",7615.0,42.96782665791202,3272.0,77.47555012224939,2535.0,11.858190709046456,388.0,0.2139364303178484,7.0,1.4975550122249388,49.0,1.0085574572127138,33.0,39.5301517,-93.0175712
"Christian County, Missouri",82053.0,45.971506221588484,37721.0,82.74701094880835,31213.0,9.893693168261711,3732.0,0.11929694334720713,45.0,0.8934015535113067,337.0,1.622438429522017,612.0,36.99764400000001,-93.17796589999999
"Clark County, Missouri",6860.0,45.903790087463555,3149.0,80.91457605589076,2548.0,7.812003810733565,246.0,0.0952683391552874,3.0,3.3343918704350584,105.0,1.8736106700539854,59.0,40.3772378,-91.7538817
"Clay County, Missouri",233135.0,50.988483067750444,118872.0,84.14428965610068,100024.0,8.454472037149202,10050.0,0.6208358570563295,738.0,1.2500841240998721,1486.0,0.8866680126522647,1054.0,39.3176186,-94.479976
"Clinton County, Missouri",20494.0,47.32604664779936,9699.0,82.10124755129394,7963.0,12.258995772760079,1189.0,0.639241158882359,62.0,1.1135168574079801,108.0,0.9073100319620578,88.0,39.6481768,-94.479976
"Cole County, Missouri",76603.0,47.05298748090806,36044.0,85.47053601154145,30807.0,9.213738763733215,3321.0,0.36621906558650535,132.0,1.1541449339695926,416.0,1.2706691821107534,458.0,38.5052486,-92.2630393
"Cooper County, Missouri",17613.0,43.94481349003577,7740.0,83.37209302325581,6453.0,10.090439276485789,781.0,0.07751937984496124,6.0,2.248062015503876,174.0,0.8656330749354004,67.0,38.8693247,-92.8577105
"Crawford County, Missouri",24545.0,37.42921165206763,9187.0,81.0384238598019,7445.0,12.724502013715034,1169.0,0.27212365298791774,25.0,1.5892021334494393,146.0,0.522477413736802,48.0,38.0561057,-91.28910359999999
"Dade County, Missouri",7590.0,41.06719367588933,3117.0,73.59640680141162,2294.0,12.60827718960539,393.0,0.06416426050689766,2.0,3.1761308950914344,99.0,1.6361886429258903,51.0,37.48636090000001,-93.9878427
"Dallas County, Missouri",16508.0,34.58929004119215,5710.0,70.92819614711033,4050.0,18.598949211908934,1062.0,0.08756567425569177,5.0,2.119089316987741,121.0,3.274956217162872,187.0,37.6853001,-93.0175712
"Daviess County, Missouri",8257.0,40.65641274070486,3357.0,74.0840035746202,2487.0,13.285671730711945,446.0,0.14894250819183796,5.0,3.2171581769436997,108.0,4.110813226094727,138.0,39.9949074,-93.9878427
"DeKalb County, Missouri",12706.0,32.41775539115378,4119.0,80.9905316824472,3336.0,12.041757708181597,496.0,0.5098324836125273,21.0,0.5583879582422918,23.0,1.6266084000971108,67.0,39.8554602,-94.43879
"Dent County, Missouri",15578.0,37.026575940428806,5768.0,80.68654646324549,4654.0,12.309292649098474,710.0,0.45076282940360607,26.0,1.248266296809986,72.0,2.721914008321775,157.0,37.544666,-91.44346900000001
"Douglas County, Missouri",13467.0,36.288705725105814,4887.0,77.0206670759157,3764.0,13.934929404542665,681.0,0.20462451401677922,10.0,3.846940863515449,188.0,0.7366482504604052,36.0,36.9708648,-92.49999179999999
"Dunklin County, Missouri",31271.0,36.26682869111957,11341.0,83.50233665461599,9470.0,11.198307027598977,1270.0,0.14108103341856978,16.0,1.498985980072304,170.0,1.340269817476413,152.0,36.2364268,-90.055447
"Franklin County, Missouri",102063.0,47.46872030020673,48448.0,84.34816710700133,40865.0,9.699058784676353,4699.0,0.6398612945838837,310.0,1.7441380449141348,845.0,0.6419253632760898,311.0,38.3953601,-91.13530200000001
"Gasconade County, Missouri",14875.0,43.65042016806723,6493.0,80.50207916217464,5227.0,12.921607885415062,839.0,0.41583243492992455,27.0,2.2639765901740336,147.0,0.32342522716771904,21.0,38.4335915,-91.4821482
"Gentry County, Missouri",6745.0,44.106745737583395,2975.0,75.02521008403362,2232.0,15.058823529411763,448.0,0.8739495798319328,26.0,3.831932773109244,114.0,1.3109243697478992,39.0,40.1406981,-94.479976
"Greene County, Missouri",285449.0,47.06304804010524,134341.0,82.05611094155917,110235.0,9.512360336754973,12779.0,0.6260188624470564,841.0,2.0701051801013834,2781.0,1.704617354344541,2290.0,37.3311215,-93.5003454
"Grundy County, Missouri",10231.0,42.556934805981825,4354.0,78.68626550298576,3426.0,9.186954524575103,400.0,1.7914561322921452,78.0,4.960955443270556,216.0,1.423977951309141,62.0,40.1743786,-93.5003454
"Harrison County, Missouri",8649.0,43.13793502138976,3731.0,77.37871884213348,2887.0,11.337443044760118,423.0,0.10720986330742428,4.0,4.744036451353525,177.0,2.224604663629054,83.0,40.3219529,-93.9878427
"Henry County, Missouri",21930.0,41.16279069767442,9027.0,84.55743879472693,7633.0,8.397031128835716,758.0,0.03323363243602526,3.0,1.6506037443225878,149.0,1.0634762379528082,96.0,38.3386592,-93.8248241
"Hickory County, Missouri",9267.0,31.682313585842238,2936.0,79.49591280653951,2334.0,11.341961852861035,333.0,0.0,0.0,1.737057220708447,51.0,2.6226158038147136,77.0,37.9747242,-93.29861059999999
"Holt County, Missouri",4537.0,46.8371170376901,2125.0,79.90588235294118,1698.0,12.329411764705881,262.0,0.2823529411764706,6.0,3.623529411764706,77.0,1.0823529411764705,23.0,40.0704458,-95.18492189999999
"Howard County, Missouri",10148.0,46.62002364998029,4731.0,79.285563305855,3751.0,9.384908053265695,444.0,0.48615514690340306,23.0,3.128302684421898,148.0,2.050306489114352,97.0,39.2064126,-92.6983868
"Howell County, Missouri",40265.0,40.04718738358376,16125.0,83.69612403100776,13496.0,9.61860465116279,1551.0,0.08682170542635659,14.0,1.3333333333333335,215.0,1.2217054263565892,197.0,36.8527979,-91.9099238
"Iron County, Missouri",10220.0,36.34050880626223,3714.0,80.8562197092084,3003.0,9.746903607969843,362.0,0.1346257404415724,5.0,3.2848680667743673,122.0,1.884760366182014,70.0,37.5515182,-90.6773046
"Jackson County, Missouri",683643.0,47.778738318098775,326636.0,82.24690481147209,268648.0,7.902986811006747,25814.0,2.2437820693371213,7329.0,1.7824122264539122,5822.0,1.4248276368801969,4654.0,38.9914998,-94.315422
"Jasper County, Missouri",117376.0,47.096510359869136,55280.0,83.6486975397974,46241.0,9.222141823444284,5098.0,0.3545586107091172,196.0,1.5430535455861072,853.0,1.255426917510854,694.0,37.17455650000001,-94.35651299999999
"Jefferson County, Missouri",222453.0,47.87797871910022,106506.0,86.12096971062662,91724.0,9.289617486338798,9894.0,0.2309729029350459,246.0,0.5689820291814546,606.0,0.42626706476630427,454.0,38.2310301,-90.52578229999999
"Johnson County, Missouri",54229.0,48.96273211750171,26552.0,80.03163603495028,21250.0,9.110424826755047,2419.0,0.19960831575775834,53.0,4.982675504670081,1323.0,1.2767399819222658,339.0,38.6744747,-93.8248241
"Knox County, Missouri",3997.0,41.18088566424819,1646.0,73.63304981773997,1212.0,11.178614823815309,184.0,0.12150668286755771,2.0,5.710814094775213,94.0,0.425273390036452,7.0,40.2058437,-92.2236667
"Laclede County, Missouri",35505.0,41.458949443740316,14720.0,80.16983695652173,11801.0,13.13179347826087,1933.0,0.06793478260869565,10.0,2.0855978260869565,307.0,1.3111413043478262,193.0,37.6965235,-92.539603
"Lafayette County, Missouri",32789.0,45.52136387203025,14926.0,80.90580195631783,12076.0,10.30416722497655,1538.0,0.32158649336727857,48.0,2.016615302157309,301.0,1.7486265576845774,261.0,39.0031288,-93.9878427
"Lawrence County, Missouri",38204.0,41.2286671552717,15751.0,76.97289061011999,12124.0,13.300742809980317,2095.0,0.08253444225763444,13.0,1.9490825979302902,307.0,2.0570122531902735,324.0,37.1500679,-93.8248241
"Lewis County, Missouri",10146.0,46.767198896116696,4745.0,71.14857744994731,3376.0,13.677555321390939,649.0,0.5690200210748156,27.0,3.9409905163329824,187.0,1.1169652265542678,53.0,40.0500853,-91.7538817
"Lincoln County, Missouri",54286.0,43.75529602475777,23753.0,85.00820948932767,20192.0,9.897697132993727,2351.0,0.21049972635035574,50.0,0.39152949101166173,93.0,1.1661684839809707,277.0,39.0669568,-90.9820668
"Linn County, Missouri",12319.0,43.03920772789999,5302.0,79.72463221425878,4227.0,12.542436816295737,665.0,0.0,0.0,2.055827989437948,109.0,1.6408902301018484,87.0,39.8556605,-93.17796589999999
"Livingston County, Missouri",15057.0,43.640831506940295,6571.0,80.23131943387612,5272.0,7.7461573580885705,509.0,0.3804595951909907,25.0,3.5458834271800335,233.0,1.2022523208035307,79.0,39.8464073,-93.5003454
"McDonald County, Missouri",22720.0,39.973591549295776,9082.0,78.96939000220216,7172.0,14.765470160757543,1341.0,0.20920502092050208,19.0,0.9799603611539309,89.0,1.7397049108125964,158.0,36.617812,-94.315422
"Macon County, Missouri",15399.0,41.35982856029612,6369.0,79.30601350290469,5051.0,11.367561626628984,724.0,1.1775788977861517,75.0,2.87329251059821,183.0,1.63290940493013,104.0,39.871344,-92.539603
"Madison County, Missouri",12403.0,40.51439167943239,5025.0,84.49751243781094,4246.0,9.213930348258707,463.0,0.03980099502487562,2.0,1.1940298507462688,60.0,1.8905472636815919,95.0,37.5528602,-90.37483540000001
"Maries County, Missouri",8987.0,39.913207967063535,3587.0,70.030666294954,2512.0,16.336771675494845,586.0,0.16727069974909395,6.0,3.150264845274603,113.0,2.0072483969891275,72.0,38.1738674,-91.949021
"Marion County, Missouri",28858.0,45.29766442580914,13072.0,83.62913096695227,10932.0,6.938494492044063,907.0,0.36719706242350064,48.0,3.1670746634026927,414.0,1.4764381884944922,193.0,39.8464028,-91.63721500000001
